run.app  (usunięto 727 subdomen)
ghost.io  (usunięto 427 subdomen)
px-cloud.net  (usunięto 332 subdomen)
adobedc.net  (usunięto 318 subdomen)
paycount.com  (usunięto 266 subdomen)
vivoglobal.com  (usunięto 209 subdomen)
xiaomi.com  (usunięto 191 subdomen)
tiktokv.com  (usunięto 179 subdomen)
qq.com  (usunięto 178 subdomen)
aws-prd.net  (usunięto 163 subdomen)
easterndns.com  (usunięto 145 subdomen)
created.app  (usunięto 119 subdomen)
gemius.pl  (usunięto 116 subdomen)
perimeterx.net  (usunięto 112 subdomen)
m-pages.com  (usunięto 110 subdomen)
heytapdl.com  (usunięto 104 subdomen)
